firstName,lastName,movieTitle,releaseYear
Aron,Warner,Shrek,2001
John,A. Davis,Jimmy Neutron: Boy Genius,2001
Steve,Oedekerk,Jimmy Neutron: Boy Genius,2001
Pete,Docter,"Monsters, Inc.",2001
John,Lasseter,"Monsters, Inc.",2001
Hayao,Miyazaki,Spirited Away,2002
Chris,Wedge,Ice Age,2002
Chris,Sanders,Lilo & Stitch,2002
Jeffrey,Katzenberg,Spirit: Stallion of the Cimarron,2002
Ron,Clements,Treasure Planet,2002
Andrew,Stanton,Finding Nemo,2003
Aaron,Blaise,Brother Bear,2003
Robert,Walker,Brother Bear,2003
Sylvain,Chomet,The Triplets of Belleville,2003
Brad,Bird,The Incredibles,2004
Bill,Damaschke,Shark Tale,2004
Andrew,Adamson,Shrek 2,2004
Nick,Park,Wallace & Gromit: The Curse of the Were-Rabbit,2005
Steve,Box,Wallace & Gromit: The Curse of the Were-Rabbit,2005
Tim,Burton,Corpse Bride,2005
Mike,Johnson,Corpse Bride,2005
Hayao,Miyazaki,Howl's Moving Castle,2005
George,Miller,Happy Feet,2006
John,Lasseter,Cars,2006
Gil,Kenan,Monster House,2006
Brad,Bird,Ratatouille,2007
Vincent,Paronnaud,Persepolis,2007
Marjane,Satrapi,Persepolis,2007
Chris,Buck,Surf's Up,2007
Ash,Brannon,Surf's Up,2007
Andrew,Stanton,WALL-E,2008
Byron,Howard,Bolt,2008
Chris,Williams,Bolt,2008
Mark,Osborne,Kung Fu Panda,2008
John,Stevenson,Kung Fu Panda,2008
Pete,Docter,Up,2009
Henry,Selick,Coraline,2009
Wes,Anderson,Fantastic Mr. Fox,2009
John,Musker,The Princess and the Frog,2009
Ron,Clements,The Princess and the Frog,2009
Tomm,Moore,The Secret of Kells,2009
Lee,Unkrich,Toy Story 3,2010
Chris,Sanders,How to Train Your Dragon,2010
Dean,DeBlois,How to Train Your Dragon,2010
Sylvain,Chomet,The Illusionist,2010
Gore,Verbinski,Rango,2011
Alain,Gagnol,A Cat in Paris,2011
Jean-Loup,Felicioli,A Cat in Paris,2011
Javier,Mariscal,Chico and Rita,2011
Fernando,Trueba,Chico and Rita,2011
Jennifer,Yuh Nelson,Kung Fu Panda 2,2011
Chris,Miller,Puss in Boots,2011
Brenda,Chapman,Brave,2012
Mark,Andrews,Brave,2012
Tim,Burton,Frankenweenie,2012
Chris,Butler,ParaNorman,2012
Sam,Fell,ParaNorman,2012
Peter,Lord,The Pirates! Band of Misfits,2012
Rich,Moore,Wreck-It Ralph,2012
Chris,Buck,Frozen,2013
Jennifer,Lee,Frozen,2013
Peter,Del Vecho,Frozen,2013
Chris,Sanders,The Croods,2013
Kristine,Belson,The Croods,2013
Kirk,DeMicco,The Croods,2013
Chris,Renaud,Despicable Me 2,2013
Pierre,Coffin,Despicable Me 2,2013
Chris,Meledandri,Despicable Me 2,2013
Didier,Brunner,Ernest & Celestine,2013
Benjamin,Renner,Ernest & Celestine,2013
Hayao,Miyazaki,The Wind Rises,2013
Toshio,Suzuki,The Wind Rises,2013
Don,Hall,Big Hero 6,2014
Chris,Williams,Big Hero 6,2014
Roy,Conli,Big Hero 6,2014
Travis,Knight,The Boxtrolls,2014
Graham,Annable,The Boxtrolls,2014
Anthony,Stacchi,The Boxtrolls,2014
Dean,DeBlois,How to Train Your Dragon 2,2014
Bonnie,Arnold,How to Train Your Dragon 2,2014
Tomm,Moore,Song of the Sea,2014
Paul,Young,Song of the Sea,2014
Isao,Takahata,The Tale of the Princess Kaguya,2014
Yoshiaki,Nishimura,The Tale of the Princess Kaguya,2014
Pete,Docter,Inside Out,2015
Jonas,Rivera,Inside Out,2015
Duke,Johnson,Anomalisa,2015
Charlie,Kaufman,Anomalisa,2015
Rosa,Tran,Anomalisa,2015
Alê,Abreu,Boy and the World,2015
Mark,Burton,Shaun the Sheep Movie,2015
Richard,Starzak,Shaun the Sheep Movie,2015
Hiromasa,Yonebayashi,When Marnie Was There,2015
Yoshiaki,Nishimura,When Marnie Was There,2015
Byron,Howard,Zootopia,2016
Rich,Moore,Zootopia,2016
Clark,Spencer,Zootopia,2016
Travis,Knight,Kubo and the Two Strings,2016
Arianne,Sutner,Kubo and the Two Strings,2016
John,Musker,Moana,2016
Ron,Clements,Moana,2016
Osnat,Shurer,Moana,2016
Claude,Barras,My Life as a Zucchini,2016
Max,Karli,My Life as a Zucchini,2016
Michaël,Dudok de Wit,The Red Turtle,2016
Toshio,Suzuki,The Red Turtle,2016
Lee,Unkrich,Coco,2017
Darla,K. Anderson,Coco,2017
Tom,McGrath,The Boss Baby,2017
Ramsey,Naito,The Boss Baby,2017
Nora,Twomey,The Breadwinner,2017
Anthony,Leo,The Breadwinner,2017
Carlos,Saldanha,Ferdinand,2017
Dorota,Kobiela,Loving Vincent,2017
Ivan,Mactaggart,Loving Vincent,2017
Hugh,Welchman,Loving Vincent,2017
Bob,Persichetti,Spider-Man: Into the Spider-Verse,2018
Peter,Ramsey,Spider-Man: Into the Spider-Verse,2018
Rodney,Rothman,Spider-Man: Into the Spider-Verse,2018
Phil,Lord,Spider-Man: Into the Spider-Verse,2018
Christopher,Miller,Spider-Man: Into the Spider-Verse,2018
Brad,Bird,Incredibles 2,2018
John,Walker,Incredibles 2,2018
Nicole,Paradis Grindle,Incredibles 2,2018
Wes,Anderson,Isle of Dogs,2018
Jeremy,Dawson,Isle of Dogs,2018
Steven,Rales,Isle of Dogs,2018
Scott,Rudin,Isle of Dogs,2018
Mamoru,Hosoda,Mirai,2018
Yuichiro,Saito,Mirai,2018
Rich,Moore,Ralph Breaks the Internet,2018
Phil,Johnston,Ralph Breaks the Internet,2018
Clark,Spencer,Ralph Breaks the Internet,2018
Josh,Cooley,Toy Story 4,2019
Jonas,Rivera,Toy Story 4,2019
Dean,DeBlois,How to Train Your Dragon: The Hidden World,2019
Bonnie,Arnold,How to Train Your Dragon: The Hidden World,2019
Brad,Lewis,How to Train Your Dragon: The Hidden World,2019
Marc,du Pontavice,I Lost My Body,2019
Sergio,Pablos,Klaus,2019
Chris,Butler,Missing Link,2019
Travis,Knight,Missing Link,2019
Arianne,Sutner,Missing Link,2019
Pete,Docter,Soul,2020
Dana,Murray,Soul,2020
Dan,Scanlon,Onward,2020
Kori,Rae,Onward,2020
Glen,Keane,Over the Moon,2020
Gennie,Rim,Over the Moon,2020
Will,Becher,A Shaun the Sheep Movie: Farmageddon,2020
Tomm,Moore,Wolfwalkers,2020
Paul,Young,Wolfwalkers,2020
Jared,Bush,Encanto,2021
Byron,Howard,Encanto,2021
Yvett,Merino,Encanto,2021
Clark,Spencer,Encanto,2021
Charlotte,de la Gournerie,Flee,2021
Monica,Hellström,Flee,2021
Jonas,Poher Rasmussen,Flee,2021
Signe,Byrge Sørensen,Flee,2021
Enrico,Casarosa,Luca,2021
Mike,Rianda,The Mitchells vs. the Machines,2021
Phil,Lord,The Mitchells vs. the Machines,2021
Christopher,Miller,The Mitchells vs. the Machines,2021
Peter,Del Vecho,Raya and the Last Dragon,2021
Carlos,López Estrada,Raya and the Last Dragon,2021
Don,Hall,Raya and the Last Dragon,2021
Osnat,Shurer,Raya and the Last Dragon,2021
Guillermo,del Toro,Guillermo del Toro's Pinocchio,2022
Mark,Gustafson,Guillermo del Toro's Pinocchio,2022
Alex,Bulkley,Guillermo del Toro's Pinocchio,2022
Dean,Fleischer Camp,Marcel the Shell with Shoes On,2022
Elisabeth,Holm,Marcel the Shell with Shoes On,2022
Caroline,Kaplan,Marcel the Shell with Shoes On,2022
Paul,Mezey,Marcel the Shell with Shoes On,2022
Joel,Crawford,Puss in Boots: The Last Wish,2022
Chris,Williams,The Sea Beast,2022
Domee,Shi,Turning Red,2022
Hayao,Miyazaki,The Boy and the Heron,2023
Toshio,Suzuki,The Boy and the Heron,2023
Peter,Sohn,Elemental,2023
Nick,Bruno,Nimona,2023
Troy,Quane,Nimona,2023
Pablo,Berger,Robot Dreams,2023
Joaquim,Dos Santos,Spider-Man: Across the Spider-Verse,2023
Kemp,Powers,Spider-Man: Across the Spider-Verse,2023
Phil,Lord,Spider-Man: Across the Spider-Verse,2023
Christopher,Miller,Spider-Man: Across the Spider-Verse,2023
Amy,Pascal,Spider-Man: Across the Spider-Verse,2023
Gints,Zilbalodis,Flow,2024
Matīss,Kaža,Flow,2024
Kelsey,Mann,Inside Out 2,2024
Adam,Elliot,Memoir of a Snail,2024
Nick,Park,Wallace & Gromit: Vengeance Most Fowl,2024
Chris,Sanders,The Wild Robot,2024
Jeff,Hermann,The Wild Robot,2024
