firstName,lastName,movieTitle,releaseYear
Emil,Jannings,The Last Command,1927
Richard,Barthelmess,The Noose,1927
Charlie,Chaplin,The Circus,1927
Warner,Baxter,In Old Arizona,1928
George,Bancroft,Thunderbolt,1928
Chester,Morris,Alibi,1928
Paul,Muni,The Valiant,1928
Lewis,Stone,The Patriot,1928
George,Arliss,Disraeli,1929
Wallace,Beery,The Big House,1929
Maurice,Chevalier,The Big Pond,1929
Ronald,Colman,Bulldog Drummond,1929
Lawrence,Tibbett,The Rogue Song,1929
Lionel,Barrymore,A Free Soul,1930
Jackie,Cooper,Skippy,1930
Richard,Dix,Cimarron,1930
Fredric,March,The Royal Family of Broadway,1930
Adolphe,Menjou,The Front Page,1930
Wallace,Beery,The Champ,1931
Fredric,March,Dr. Jekyll and Mr. Hyde,1931
Alfred,Lunt,The Guardsman,1931
Charles,Laughton,The Private Life of Henry VIII,1932
Leslie,Howard,Berkeley Square,1932
Paul,Muni,I Am a Fugitive from a Chain Gang,1932
Clark,Gable,It Happened One Night,1934
Frank,Morgan,The Affairs of Cellini,1934
William,Powell,The Thin Man,1934
Victor,McLaglen,The Informer,1935
Clark,Gable,Mutiny on the Bounty,1935
Paul,Muni,Black Fury,1935
Franchot,Tone,Mutiny on the Bounty,1935
Paul,Muni,The Story of Louis Pasteur,1936
Gary,Cooper,Mr. Deeds Goes to Town,1936
Walter,Huston,Dodsworth,1936
William,Powell,My Man Godfrey,1936
Spencer,Tracy,San Francisco,1936
Spencer,Tracy,Captains Courageous,1937
Charles,Boyer,Conquest,1937
Fredric,March,A Star Is Born,1937
Robert,Montgomery,Night Must Fall,1937
Paul,Muni,The Life of Emile Zola,1937
Spencer,Tracy,Boys Town,1938
Charles,Boyer,Algiers,1938
James,Cagney,Angels with Dirty Faces,1938
Robert,Donat,The Citadel,1938
Leslie,Howard,Pygmalion,1938
Robert,Donat,"Goodbye, Mr. Chips",1939
Clark,Gable,Gone with the Wind,1939
Laurence,Olivier,Wuthering Heights,1939
Mickey,Rooney,Babes in Arms,1939
James,Stewart,Mr. Smith Goes to Washington,1939
James,Stewart,The Philadelphia Story,1940
Charlie,Chaplin,The Great Dictator,1940
Henry,Fonda,The Grapes of Wrath,1940
Raymond,Massey,Abe Lincoln in Illinois,1940
Laurence,Olivier,Rebecca,1940
Gary,Cooper,Sergeant York,1941
Cary,Grant,Penny Serenade,1941
Walter,Huston,The Devil and Daniel Webster,1941
Robert,Montgomery,Here Comes Mr. Jordan,1941
Orson,Welles,Citizen Kane,1941
James,Cagney,Yankee Doodle Dandy,1942
Ronald,Colman,Random Harvest,1942
Gary,Cooper,The Pride of the Yankees,1942
Walter,Pidgeon,Mrs. Miniver,1942
Monty,Woolley,The Pied Piper,1942
Paul,Lukas,Watch on the Rhine,1943
Humphrey,Bogart,Casablanca,1943
Gary,Cooper,For Whom the Bell Tolls,1943
Walter,Pidgeon,Madame Curie,1943
Mickey,Rooney,The Human Comedy,1943
Bing,Crosby,Going My Way,1944
Charles,Boyer,Gaslight,1944
Barry,Fitzgerald,Going My Way,1944
Cary,Grant,None but the Lonely Heart,1944
Alexander,Knox,Wilson,1944
Ray,Milland,The Lost Weekend,1945
Bing,Crosby,The Bells of St. Mary's,1945
Gene,Kelly,Anchors Aweigh,1945
Gregory,Peck,The Keys of the Kingdom,1945
Cornel,Wilde,A Song to Remember,1945
Fredric,March,The Best Years of Our Lives,1946
Laurence,Olivier,Henry V,1946
Larry,Parks,The Jolson Story,1946
Gregory,Peck,The Yearling,1946
James,Stewart,It's a Wonderful Life,1946
Ronald,Colman,A Double Life,1947
John,Garfield,Body and Soul,1947
Gregory,Peck,Gentleman's Agreement,1947
William,Powell,Life with Father,1947
Michael,Redgrave,Mourning Becomes Electra,1947
Laurence,Olivier,Hamlet,1948
Lew,Ayres,Johnny Belinda,1948
Montgomery,Clift,The Search,1948
Dan,Dailey,When My Baby Smiles at Me,1948
Clifton,Webb,Sitting Pretty,1948
Broderick,Crawford,All the King's Men,1949
Kirk,Douglas,Champion,1949
Gregory,Peck,Twelve O'Clock High,1949
Richard,Todd,The Hasty Heart,1949
John,Wayne,Sands of Iwo Jima,1949
José,Ferrer,Cyrano de Bergerac,1950
Louis,Calhern,The Magnificent Yankee,1950
William,Holden,Sunset Boulevard,1950
James,Stewart,Harvey,1950
Spencer,Tracy,Father of the Bride,1950
Humphrey,Bogart,The African Queen,1951
Marlon,Brando,A Streetcar Named Desire,1951
Montgomery,Clift,A Place in the Sun,1951
Arthur,Kennedy,Bright Victory,1951
Fredric,March,Death of a Salesman,1951
Gary,Cooper,High Noon,1952
Marlon,Brando,Viva Zapata!,1952
Kirk,Douglas,The Bad and the Beautiful,1952
José,Ferrer,Moulin Rouge,1952
Alec,Guinness,The Lavender Hill Mob,1952
William,Holden,Stalag 17,1953
Marlon,Brando,Julius Caesar,1953
Richard,Burton,The Robe,1953
Montgomery,Clift,From Here to Eternity,1953
Marlon,Brando,On the Waterfront,1954
Humphrey,Bogart,The Caine Mutiny,1954
Bing,Crosby,The Country Girl,1954
James,Mason,A Star Is Born,1954
Dan,O'Herlihy,Robinson Crusoe,1954
Ernest,Borgnine,Marty,1955
James,Cagney,Love Me or Leave Me,1955
James,Dean,East of Eden,1955
Frank,Sinatra,The Man with the Golden Arm,1955
Spencer,Tracy,Bad Day at Black Rock,1955
Yul,Brynner,The King and I,1956
James,Dean,Giant,1956
Kirk,Douglas,Lust for Life,1956
Rock,Hudson,Giant,1956
Laurence,Olivier,Richard III,1956
Alec,Guinness,The Bridge on the River Kwai,1957
Marlon,Brando,Sayonara,1957
Anthony,Franciosa,A Hatful of Rain,1957
Charles,Laughton,Witness for the Prosecution,1957
Anthony,Quinn,Wild Is the Wind,1957
David,Niven,Separate Tables,1958
Tony,Curtis,The Defiant Ones,1958
Paul,Newman,Cat on a Hot Tin Roof,1958
Sidney,Poitier,The Defiant Ones,1958
Spencer,Tracy,The Old Man and the Sea,1958
Charlton,Heston,Ben-Hur,1959
Laurence,Harvey,Room at the Top,1959
Jack,Lemmon,Some Like It Hot,1959
Paul,Muni,The Last Angry Man,1959
James,Stewart,Anatomy of a Murder,1959
Burt,Lancaster,Elmer Gantry,1960
Trevor,Howard,Sons and Lovers,1960
Jack,Lemmon,The Apartment,1960
Laurence,Olivier,The Entertainer,1960
Spencer,Tracy,Inherit the Wind,1960
Maximilian,Schell,Judgment at Nuremberg,1961
Charles,Boyer,Fanny,1961
Paul,Newman,The Hustler,1961
Spencer,Tracy,Judgment at Nuremberg,1961
Stuart,Whitman,The Mark,1961
Gregory,Peck,To Kill a Mockingbird,1962
Burt,Lancaster,Birdman of Alcatraz,1962
Jack,Lemmon,Days of Wine and Roses,1962
Marcello,Mastroianni,Divorce Italian Style,1962
Peter,O'Toole,Lawrence of Arabia,1962
Sidney,Poitier,Lilies of the Field,1963
Albert,Finney,Tom Jones,1963
Richard,Harris,This Sporting Life,1963
Rex,Harrison,Cleopatra,1963
Paul,Newman,Hud,1963
Rex,Harrison,My Fair Lady,1964
Richard,Burton,Becket,1964
Anthony,Quinn,Zorba the Greek,1964
Peter,Sellers,Dr. Strangelove,1964
Lee,Marvin,Cat Ballou,1965
Richard,Burton,The Spy Who Came in from the Cold,1965
Laurence,Olivier,Othello,1965
Rod,Steiger,The Pawnbroker,1965
Oskar,Werner,Ship of Fools,1965
Paul,Scofield,A Man for All Seasons,1966
Alan,Arkin,"The Russians Are Coming, the Russians Are Coming",1966
Richard,Burton,Who's Afraid of Virginia Woolf?,1966
Michael,Caine,Alfie,1966
Steve,McQueen,The Sand Pebbles,1966
Rod,Steiger,In the Heat of the Night,1967
Warren,Beatty,Bonnie and Clyde,1967
Dustin,Hoffman,The Graduate,1967
Paul,Newman,Cool Hand Luke,1967
Spencer,Tracy,Guess Who's Coming to Dinner,1967
Cliff,Robertson,Charly,1968
Alan,Arkin,The Heart Is a Lonely Hunter,1968
Alan,Bates,The Fixer,1968
Ron,Moody,Oliver!,1968
Peter,O'Toole,The Lion in Winter,1968
John,Wayne,True Grit,1969
Richard,Burton,Anne of the Thousand Days,1969
Dustin,Hoffman,Midnight Cowboy,1969
Peter,O'Toole,"Goodbye, Mr. Chips",1969
Jon,Voight,Midnight Cowboy,1969
George,C. Scott,Patton,1970
Melvyn,Douglas,I Never Sang for My Father,1970
James,Earl Jones,The Great White Hope,1970
Jack,Nicholson,Five Easy Pieces,1970
Ryan,O'Neal,Love Story,1970
Gene,Hackman,The French Connection,1971
Peter,Finch,Sunday Bloody Sunday,1971
Walter,Matthau,Kotch,1971
George,C. Scott,The Hospital,1971
Topol,,Fiddler on the Roof,1971
Marlon,Brando,The Godfather,1972
Michael,Caine,Sleuth,1972
